Round,Train Loss,Dice WT
-1,0.9614800721675426,0.3134
-1,0.9522042924219424,0.2986
-1,0.9136148899525136,0.226
-1,0.7931972694826556,0.7627
-1,0.4934513774004069,0.989
-1,0.25563608794598963,1.0
-1,0.16504358772758965,0.9745
-1,0.1331164322457872,1.0
-1,0.10987085136207372,0.9907
-1,0.10683419296333381,0.9452
-1,0.10772196763270611,0.9904
-1,0.09421899748278093,0.982
-1,0.09367836788967923,0.9599
-1,0.0986914998776204,1.0
-1,0.09170669456859966,0.9286
-1,0.0931031786643707,1.0
-1,0.09546543327537742,0.9445
-1,0.08940749952385017,0.9775
-1,0.08865393260577777,1.0
-1,0.0892634273649336,0.9835
-1,0.09305582809018659,0.9438
-1,0.08645754128963025,0.9659
-1,0.0869776041658075,0.9719
-1,0.08572931139318793,0.9958
-1,0.08791528618013536,0.9812
