round,dice_wt,time_sec,loss
0,0.1107,21.32,0.8893
1,0.2256,18.24,0.7744
2,0.8925,18.14,0.1075
3,0.9217,18.0,0.0783
4,0.3817,18.01,0.6183
5,0.7311,18.07,0.2689
6,0.9071,17.91,0.0929
7,0.9505,18.24,0.0495
8,0.9289,18.36,0.0711
9,0.8492,18.0,0.1508
10,0.6723,18.3,0.3277
11,0.7222,18.29,0.2778
12,0.6629,18.03,0.3371
13,0.5405,18.25,0.4595
14,0.4522,18.04,0.5478
15,0.5213,17.92,0.4787
16,0.5424,17.83,0.4576
17,0.4701,18.0,0.5299
18,0.4679,17.86,0.5321
19,0.4813,17.92,0.5187
20,0.4017,17.83,0.5983
21,0.4544,18.0,0.5456
22,0.4945,18.26,0.5055
23,0.4006,18.49,0.5994
24,0.4503,18.1,0.5497
25,0.4753,19.65,0.5247
