batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,179439,157749,150292,186896,1.0
2,0,194820,162397,159630,197587,1.0
3,0,146345,169918,125744,190519,1.0
4,0,266229,200621,198882,267968,1.0
5,0,9897,12470,9522,12845,1.0
6,0,46298,42636,40714,48220,1.0
7,0,50569,46230,44949,51850,1.0
8,0,60148,51782,51345,60585,1.0
9,0,84573,59342,58910,85005,1.0
10,0,298424,77740,77460,298704,0.5186
11,0,90535,78549,77224,91860,1.0
12,0,81780,78584,75712,84652,1.0
13,0,99427,79080,74433,104074,1.0
14,0,102884,83463,83015,103332,1.0
15,0,99986,84845,83705,101126,1.0
16,0,103514,85112,84426,104200,1.0
17,0,112767,95788,84209,124346,1.0
18,0,112575,98011,94761,115825,1.0
19,0,296134,98512,98491,296155,0.6651
20,0,109489,98996,96604,111881,1.0
21,0,128460,105016,104658,128818,1.0
22,0,141629,107675,107230,142074,1.0
23,0,126598,107935,106691,127842,1.0
24,0,134956,111614,111452,135118,1.0
25,0,138039,111967,111714,138292,1.0
26,0,143083,120374,118467,144990,1.0
27,0,172569,138460,136410,174619,1.0
28,0,157196,147383,133751,170828,1.0
29,0,446359,147861,145497,448723,0.6485
30,0,176742,150203,136642,190303,1.0
31,0,178355,157326,151070,184611,1.0
32,0,179448,158379,156846,180981,1.0
33,0,264078,173764,173419,264423,1.0
34,0,376096,224832,223502,377426,1.0
35,0,26345,20466,19670,27141,1.0
36,0,38246,34197,33901,38542,1.0
37,0,49988,44986,43106,51868,1.0
38,0,52960,46623,46533,53050,1.0
39,0,57493,51390,49600,59283,1.0
40,0,69978,58948,58815,70111,1.0
41,0,80603,71632,71454,80781,1.0
42,0,82866,72110,71758,83218,1.0
43,0,89058,74298,73447,89909,1.0
44,0,84377,79454,77780,86051,1.0
45,0,95601,83563,80947,98217,1.0
46,0,101686,87678,86757,102607,1.0
47,0,105153,89503,89181,105475,1.0
48,0,100524,91161,91008,100677,1.0
49,0,115360,98447,97295,116512,1.0
50,0,380066,104055,100795,383326,0.5259
51,0,166201,113630,113469,166362,1.0
52,0,117373,118171,112242,123302,1.0
53,0,155393,125934,121862,159465,1.0
54,0,152563,130763,128815,154511,1.0
55,0,165466,140799,139909,166356,1.0
56,0,157803,146440,144732,159511,1.0
57,0,194318,153071,152734,194655,1.0
58,0,179865,157089,156396,180558,1.0
59,0,177021,157414,153099,181336,1.0
60,0,179401,161243,160044,180600,1.0
61,0,190434,168343,166416,192361,1.0
62,0,194574,173462,170520,197516,1.0
63,0,212345,186129,183987,214487,1.0
64,0,236645,192199,191641,237203,1.0
65,0,227706,216245,210030,233921,1.0
66,0,323871,220576,220409,324038,1.0
67,0,268313,237250,233108,272455,1.0
