Round,Train Loss,Dice WT
-1,0.9555277788338541,0.3657
-1,0.9455508716967926,0.4018
-1,0.9191724161140057,0.3807
-1,0.8706589785944514,0.5385
-1,0.7614940782555012,0.7933
-1,0.5772197390804772,0.9245
-1,0.3966961461956761,0.938
-1,0.2787570909291756,0.9238
-1,0.21246221225802636,0.9398
-1,0.1779677698592178,0.8792
-1,0.16142476176013465,0.9478
-1,0.15036180490205267,0.9188
-1,0.14489544039013005,0.8208
-1,0.13868242953003956,0.8703
-1,0.1380107671272855,0.8965
-1,0.13444567678355368,0.9999
-1,0.1341108200930748,0.9923
-1,0.1305037194941224,0.992
-1,0.1316916770293933,0.9976
-1,0.1295031054681089,0.9217
-1,0.12585448787993742,0.9509
-1,0.13036645430476723,0.9589
-1,0.12818885029864913,0.998
-1,0.1259789865557887,0.8895
-1,0.1292932197827251,0.9459
