round,dice_wt,time_sec,loss
0,0.1107,21.78,0.8893
1,0.3618,18.22,0.6382
2,0.4206,18.54,0.5794
3,0.9134,18.5,0.0866
4,0.9651,18.39,0.0349
5,0.9768,18.2,0.0232
6,0.9556,18.26,0.0444
7,0.9594,18.5,0.0406
8,0.9629,18.43,0.0371
9,0.959,18.2,0.041
10,0.9595,18.15,0.0405
11,0.9609,18.38,0.0391
12,0.9628,18.07,0.0372
13,0.9598,18.01,0.0402
14,0.9693,18.14,0.0307
15,0.9751,18.01,0.0249
16,0.9704,18.18,0.0296
17,0.969,18.11,0.031
18,0.972,18.09,0.028
19,0.9721,18.31,0.0279
20,0.9644,17.88,0.0356
21,0.9666,17.9,0.0334
22,0.9704,18.35,0.0296
23,0.9691,18.11,0.0309
24,0.969,18.14,0.031
25,0.972,19.19,0.028
