round,dice_wt,time_sec,loss
0,0.1107,22.56,0.8893
1,0.8509,17.57,0.1491
2,0.6351,17.54,0.3649
3,0.3672,17.22,0.6328
4,0.0181,17.17,0.9819
5,0.0114,17.29,0.9886
6,0.1001,17.74,0.8999
7,0.1943,17.64,0.8057
8,0.4233,17.58,0.5767
9,0.4791,17.62,0.5209
10,0.4221,17.4,0.5779
11,0.4897,17.04,0.5103
12,0.4605,17.4,0.5395
13,0.4829,17.14,0.5171
14,0.3019,17.18,0.6981
15,0.535,17.1,0.465
16,0.3593,17.0,0.6407
17,0.4609,17.25,0.5391
18,0.5132,17.22,0.4868
19,0.5679,17.11,0.4321
20,0.6449,17.1,0.3551
21,0.5477,17.01,0.4523
22,0.828,17.08,0.172
23,0.6412,17.41,0.3588
24,0.7895,17.29,0.2105
25,0.8276,17.34,0.1724
