SampleIndex,Dice,HD95
0,0.8031,46.8828
1,0.9442,3.3166
2,0.9120,8.0623
3,0.9356,12.6886
4,0.9132,2.8284
5,0.9544,2.4495
6,0.8016,22.1687
7,0.9516,2.8284
8,0.7889,26.5349
9,0.8819,4.1231
