SampleIndex,Dice,HD95
0,0.4728,27.2176
1,0.6239,17.4356
2,0.9086,4.1231
3,0.9348,3.1623
4,0.8674,5.4772
5,0.9386,21.9226
6,0.8920,10.0499
7,0.9551,2.2361
8,0.9575,1.7321
9,0.7234,5.7446
