SampleIndex,Dice,HD95
0,0.8189,5.9161
1,0.9011,3.3166
2,0.9223,2.2361
3,0.8824,4.1231
4,0.7628,29.8329
5,0.8913,3.0000
6,0.8818,4.0000
7,0.8694,10.8167
8,0.4227,20.3224
9,0.0000,61.5873
