SampleIndex,Dice,HD95
0,0.9434,2.4495
1,0.6972,11.6619
2,0.9386,2.0000
3,0.2314,29.8998
4,0.3252,18.6386
5,0.6389,13.8924
6,0.8440,5.8310
7,0.8836,8.4853
8,0.6491,5.4772
9,0.0000,nan
