Round,Train Loss,Dice WT
-1,0.9614943331426329,0.3586
-1,0.9521545324239644,0.31
-1,0.9132720123540174,0.1925
-1,0.7926311947203972,0.7482
-1,0.4919656765353572,1.0
-1,0.25784425402546785,0.997
-1,0.17098977920171377,0.9911
-1,0.12688714029552703,1.0
-1,0.11377395369985081,0.9972
-1,0.10349862725885065,0.9882
-1,0.11139939132037464,0.99
-1,0.09731899059570588,0.9662
-1,0.09598889963046925,0.9952
-1,0.09371340639956363,0.9746
-1,0.09421710377340918,0.9739
-1,0.09472256157849286,0.9637
-1,0.0944076396323539,0.9497
-1,0.09348429484410328,0.9775
-1,0.09034262659313443,0.9735
-1,0.09025874588940594,0.9701
-1,0.09690810957470455,0.9571
-1,0.08528849810093372,0.9602
-1,0.08653221968057992,0.953
-1,0.08791525084693154,0.9828
-1,0.08675286254367313,0.9489
