round,dice_wt,time_sec,loss
0,0.1107,22.04,0.8893
1,0.1541,17.89,0.8459
2,0.318,17.88,0.682
3,0.3983,18.04,0.6017
4,0.4154,17.76,0.5846
5,0.4788,18.06,0.5212
6,0.4414,18.2,0.5586
7,0.4976,17.9,0.5024
8,0.643,17.81,0.357
9,0.7371,18.05,0.2629
10,0.6985,17.78,0.3015
11,0.5978,17.79,0.4022
12,0.7372,17.7,0.2628
13,0.8024,17.69,0.1976
14,0.6694,17.86,0.3306
15,0.6353,18.16,0.3647
16,0.875,17.86,0.125
17,0.8724,18.01,0.1276
18,0.8487,17.86,0.1513
19,0.9553,18.01,0.0447
20,0.9276,17.83,0.0724
21,0.9559,17.85,0.0441
22,0.9162,17.72,0.0838
23,0.9594,17.84,0.0406
24,0.9647,17.94,0.0353
25,0.9506,18.83,0.0494
