Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,KH,0,64,154016352,123207324,1.2500584137352095
-1,KH,0,64,154016352,123054301,1.2516129119290191
-1,KH,0,64,154016352,122893744,1.2532481067547263
-1,KH,0,64,154016352,122741017,1.254807526973644
-1,KH,0,64,154016352,122390235,1.2584039241365947
-1,KH,0,64,154016352,122205785,1.260303282696478
-1,KH,0,64,154016352,122205783,1.2603033033223967
-1,KH,0,64,154016352,122159303,1.260782832069695
-1,KH,0,64,154016352,122017576,1.2622472683771393
-1,KH,0,64,154016352,122144149,1.2609392530132573
-1,KH,0,64,154016352,121930791,1.263145680732933
-1,KH,0,64,154016352,122080437,1.2615973188234901
-1,KH,0,64,154016352,122136699,1.2610161668115822
-1,KH,0,64,154016352,122146734,1.260912567666361
-1,KH,0,64,154016352,122193657,1.2604283706804846
-1,KH,0,64,154016352,122193613,1.2604288245409356
-1,KH,0,64,154016352,122336457,1.2589571071197525
-1,KH,0,64,154016352,122298163,1.2593513117609134
-1,KH,0,64,154016352,122105656,1.2613367557682995
-1,KH,0,64,154016352,122349296,1.2588249956092923
-1,KH,0,64,154016352,122310773,1.2592214751189579
-1,KH,0,64,154016352,122222012,1.2601359565247543
-1,KH,0,64,154016352,122207964,1.2602808111589192
-1,KH,0,64,154016352,122325425,1.2590706470057227
-1,KH,0,64,154016352,122375504,1.258555405009813
