Round,Train Loss,Dice WT
-1,0.9629273390769958,0.2161
-1,0.960172816812992,0.1783
-1,0.9588863083720207,0.2914
-1,0.9574442408978939,0.2327
-1,0.9553011561930178,0.2439
-1,0.9527403084933758,0.2255
-1,0.9493081665039063,0.1737
-1,0.9448667669296265,0.2901
-1,0.939355897307396,0.3375
-1,0.9327607084810733,0.2915
-1,0.924688288718462,0.2651
-1,0.9156852054595948,0.2586
-1,0.9037906500697137,0.3903
-1,0.890521529018879,0.4052
-1,0.8741914746165275,0.5926
-1,0.8541436551511288,0.3258
-1,0.8311400690674782,0.6205
-1,0.8041927318274975,0.7677
-1,0.7739539237320423,0.8728
-1,0.738532707542181,0.9202
-1,0.7012008021771908,0.9428
-1,0.6655555288493632,0.7782
-1,0.628921230584383,0.9742
-1,0.5975138491392136,0.974
-1,0.5678688244521618,0.9812
