Round,Train Loss,Dice WT
-1,0.9915990766882896,0.0991
-1,0.9910597184300423,0.0747
-1,0.9907462248206139,0.1019
-1,0.990383483916521,0.0613
-1,0.9897886016964913,0.0804
-1,0.9890595230460167,0.0391
-1,0.9881731654703618,0.0421
-1,0.9870367509126663,0.0397
-1,0.9856311857700348,0.0512
-1,0.9839293636381624,0.0464
-1,0.9818926510214805,0.0531
-1,0.979292856156826,0.06
-1,0.9762061217427254,0.0715
-1,0.9722886952757834,0.1088
-1,0.9672830513119697,0.1298
-1,0.961042159050703,0.0828
-1,0.9527818819880485,0.2397
-1,0.9423068599402905,0.2435
-1,0.9286821076273919,0.4592
-1,0.9107564425468444,0.3729
-1,0.8894669975340367,0.5782
-1,0.8625265215337276,0.0178
-1,0.8296446593105793,0.6711
-1,0.7914529566466808,0.6118
-1,0.7499661946296692,0.8513
