Round,Train Loss,Dice WT
-1,0.9555125269569269,0.3607
-1,0.9458808906939851,0.3854
-1,0.9204401399908948,0.3494
-1,0.8736188248425971,0.4351
-1,0.7716588514191765,0.7737
-1,0.6007068635034962,0.8362
-1,0.42673935078773184,0.9576
-1,0.31475856654784257,0.9407
-1,0.2543362651552473,0.9832
-1,0.22623571818616212,1.0
-1,0.2059338290150426,0.8743
-1,0.20074680071918904,0.9688
-1,0.19646414698672898,0.9058
-1,0.19226708712698032,0.9245
-1,0.18444758553464874,0.9897
-1,0.187971980130973,0.9965
-1,0.1926004251512159,0.9971
-1,0.18572532569660857,0.7873
-1,0.18972764866692682,0.9304
-1,0.18867249298496405,0.9371
-1,0.1858146018340808,0.8156
-1,0.1889771556653896,0.9664
-1,0.18704047042782565,0.9918
-1,0.1903688523949695,0.9771
-1,0.19211323371454447,0.9882
