round,dice_wt,time_sec,loss
0,0.1107,22.36,0.8893
1,0.4533,18.61,0.5467
2,0.9253,18.02,0.0747
3,0.3069,18.21,0.6931
4,0.0777,18.19,0.9223
5,0.3749,18.06,0.6251
6,0.7145,18.18,0.2855
7,0.9788,18.7,0.0212
8,0.8924,17.89,0.1076
9,0.8509,18.03,0.1491
10,0.5051,17.96,0.4949
11,0.9152,17.87,0.0848
12,0.6551,18.09,0.3449
13,0.476,18.22,0.524
14,0.675,17.99,0.325
15,0.6289,18.38,0.3711
16,0.7046,18.22,0.2954
17,0.733,18.19,0.267
18,0.3686,18.19,0.6314
19,0.6691,17.96,0.3309
20,0.5416,18.1,0.4584
21,0.6192,17.99,0.3808
22,0.4282,17.97,0.5718
23,0.638,18.16,0.362
24,0.3976,17.96,0.6024
25,0.4399,19.26,0.5601
