Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SH,0.6,-,154016352,165119527,0.9327567401993493
-1,SH,0.6,-,154016352,159709091,0.9643555714654604
-1,SH,0.6,-,154016352,161730153,0.9523044944213584
-1,SH,0.6,-,154016352,163740186,0.9406142483803361
-1,SH,0.6,-,154016352,163903162,0.9396789496442802
-1,SH,0.6,-,154016352,161249136,0.955145282188622
-1,SH,0.6,-,154016352,164199955,0.9379804730217142
-1,SH,0.6,-,154016352,161045589,0.9563525005782088
-1,SH,0.6,-,154016352,159815024,0.9637163494634369
-1,SH,0.6,-,154016352,159601970,0.9650028201213593
-1,SH,0.6,-,154016352,161393252,0.9542923860655486
-1,SH,0.6,-,154016352,160970549,0.9567983256302066
-1,SH,0.6,-,154016352,162334398,0.9487598056204899
-1,SH,0.6,-,154016352,161383052,0.9543526999026872
-1,SH,0.6,-,154016352,162986403,0.9449644211379242
-1,SH,0.6,-,154016352,162327502,0.9488001071423261
-1,SH,0.6,-,154016352,163207474,0.94368442524309
-1,SH,0.6,-,154016352,162861319,0.9456901882063822
-1,SH,0.6,-,154016352,162072347,0.9502938326392439
-1,SH,0.6,-,154016352,163763310,0.9404814272489899
-1,SH,0.6,-,154016352,162883428,0.9455618245770795
-1,SH,0.6,-,154016352,163433720,0.9423780550509625
-1,SH,0.6,-,154016352,163428321,0.9424091883098116
-1,SH,0.6,-,154016352,164297643,0.9374227718331777
-1,SH,0.6,-,154016352,163982727,0.9392230150607925
