Sample,Dice,HD95
0_0,1.0000,89.6995
1_0,1.0000,47.8435
2_0,1.0000,68.3253
3_0,1.0000,27.8568
4_0,0.4327,73.6274
5_0,1.0000,59.9583
6_0,0.7494,80.9033
7_0,0.7890,56.8595
8_0,1.0000,28.1780
9_0,1.0000,42.9535
10_0,1.0000,37.1214
11_0,1.0000,51.0196
12_0,1.0000,73.1710
13_0,1.0000,68.3191
14_0,1.0000,60.3490
15_0,1.0000,53.7406
16_0,1.0000,54.8380
17_0,1.0000,45.4423
18_0,1.0000,62.9047
19_0,1.0000,62.8140
20_0,1.0000,65.6201
21_0,0.3682,71.3653
22_0,0.3528,86.6470
23_0,0.9571,80.1402
24_0,0.1471,63.6082
25_0,0.6844,56.2583
26_0,1.0000,58.6980
27_0,1.0000,84.9229
28_0,0.1716,69.0897
29_0,1.0000,40.9145
30_0,1.0000,58.3609
31_0,0.7002,92.8655
32_0,0.7501,56.0089
33_0,0.8456,62.4660
34_0,1.0000,66.5132
35_0,1.0000,33.9706
36_0,0.6005,74.0338
37_0,1.0000,93.1558
38_0,1.0000,83.1790
Average,0.8602,62.6601
