Round,Train Loss,Dice WT
-1,0.9575757792592048,0.2294
-1,0.9542586804926396,0.1915
-1,0.9525395734608173,0.4151
-1,0.9506030553579331,0.3333
-1,0.94792357057333,0.2897
-1,0.9443757030367852,0.3045
-1,0.9396139138936996,0.3044
-1,0.9336628352105617,0.1949
-1,0.9266017949581146,0.1798
-1,0.9180720786750317,0.2271
-1,0.9076456247270107,0.4844
-1,0.8949623268842698,0.3555
-1,0.8794767704606056,0.3419
-1,0.860774072855711,0.3807
-1,0.8380001446604728,0.4133
-1,0.8095839358866215,0.5738
-1,0.77586610943079,0.6526
-1,0.7361440585553647,0.5421
-1,0.6906399980187417,0.8465
-1,0.6368443728983403,0.819
-1,0.5812186098098755,0.8895
-1,0.5262810161709786,0.8851
-1,0.47630916967988013,0.9
-1,0.4166402094066143,0.9652
-1,0.37129646152257917,0.9
