Round,EncodingMode,NClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SKH,32,154016352,46010332,3.347429651133313
-1,SKH,32,154016352,45766651,3.3652527823497036
-1,SKH,32,154016352,45655218,3.373466534596766
-1,SKH,32,154016352,45604657,3.377206658423139
-1,SKH,32,154016352,45567634,3.3799505722646708
-1,SKH,32,154016352,45563653,3.3802458664642017
-1,SKH,32,154016352,45478165,3.3865999132211817
-1,SKH,32,154016352,45415514,3.391271792629011
-1,SKH,32,154016352,45446039,3.388993940196013
-1,SKH,32,154016352,45476228,3.3867441791089568
-1,SKH,32,154016352,45441343,3.3893441712814703
-1,SKH,32,154016352,45439561,3.389477111885481
-1,SKH,32,154016352,45431977,3.3900429006556547
-1,SKH,32,154016352,45455416,3.3882948182271457
-1,SKH,32,154016352,45428239,3.390321836911235
-1,SKH,32,154016352,45417725,3.3911066482868923
-1,SKH,32,154016352,45469532,3.3872429109913385
-1,SKH,32,154016352,45431783,3.390057352151628
-1,SKH,32,154016352,45473198,3.3869698643330626
-1,SKH,32,154016352,45388992,3.3932533783966985
-1,SKH,32,154016352,45425754,3.3905072772193243
-1,SKH,32,154016352,45422902,3.3907201936192304
-1,SKH,32,154016352,45436115,3.3897341462769446
-1,SKH,32,154016352,45326915,3.3979005573991263
-1,SKH,32,154016352,45276433,3.4016891727256833
