Round,Train Loss,Dice WT
-1,0.964873971220325,0.2204
-1,0.9505377810375364,0.1608
-1,0.9261160073619263,0.3511
-1,0.866644495579542,0.7552
-1,0.7480852216189982,0.9446
-1,0.5632911874090925,0.9237
-1,0.39974738417887223,0.9573
-1,0.2989400293605,0.9529
-1,0.24623118484137105,0.9707
-1,0.21407647965585483,0.9671
-1,0.20658497521105934,0.9622
-1,0.1942664766720697,0.9676
-1,0.18972957569594479,0.9645
-1,0.18707652635434097,0.9739
-1,0.18276055440598843,0.9824
-1,0.18078231002185857,0.969
-1,0.17741344848684235,0.9725
-1,0.17910397759839597,0.9873
-1,0.17503334616913513,0.9645
-1,0.1744995516304876,0.9798
-1,0.17052194166417214,0.9718
-1,0.17124433613875334,0.9715
-1,0.16804474425666474,0.9729
-1,0.16852098954658884,0.9697
-1,0.16697007426444221,0.9613
