Round,Train Loss,Dice WT
-1,0.9614943331426329,0.3586
-1,0.9518907170037967,0.3007
-1,0.9034292264027638,0.3531
-1,0.7631130224949605,0.7747
-1,0.4705052825781676,1.0
-1,0.2682168238871806,0.9956
-1,0.17713717780671676,0.9791
-1,0.14153801127597015,0.9848
-1,0.13491527507971,0.9986
-1,0.1241642506272943,0.9968
-1,0.11616396839554244,0.9821
-1,0.11250002545279425,0.9604
-1,0.1154223320720432,0.9878
-1,0.10611617790686119,1.0
-1,0.10537189331140603,0.9701
-1,0.1072708795736502,0.9775
-1,0.10404415828687649,0.9998
-1,0.11339484947221774,0.9806
-1,0.10772221550211176,0.9925
-1,0.10842883307654579,0.9827
-1,0.10512059916247118,0.982
-1,0.10464326841337188,0.974
-1,0.11100014619999103,0.9738
-1,0.10316102107365928,1.0
-1,0.10243201148402584,0.9732
