batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,132604,157749,105207,185146,1.0
2,0,143975,162397,106200,200172,1.0
3,0,86501,169918,71305,185114,0.7704
4,0,173831,200621,145135,229317,1.0
5,0,24796,12470,4131,33135,0.2493
6,0,67258,42636,24139,85755,0.563
7,0,49432,46230,33388,62274,1.0
8,0,129633,51782,38882,142533,0.5456
9,0,83554,59342,29575,113321,0.522
10,0,113148,77740,48075,142813,0.6733
11,0,164463,78549,58700,184312,0.637
12,0,98430,78584,54369,122645,0.8866
13,0,88920,79080,39159,128841,0.6079
14,0,100812,83463,40085,144190,0.556
15,0,100234,84845,48971,136108,0.7196
16,0,117339,85112,64614,137837,0.9375
17,0,72578,95788,45105,123261,0.7319
18,0,108718,98011,46323,160406,0.5776
19,0,116081,98512,68266,146327,0.9331
20,0,95235,98996,47591,146640,0.6491
21,0,116034,105016,66165,154885,0.8544
22,0,134435,107675,74655,167455,0.8916
23,0,81588,107935,50535,138988,0.7272
24,0,103156,111614,72369,142401,1.0
25,0,137114,111967,70937,178144,0.7964
26,0,116430,120374,82263,154541,1.0
27,0,83584,138460,65376,156668,0.8346
28,0,112205,147383,66937,192651,0.6949
29,0,115051,147861,66601,196311,0.6785
30,0,101583,150203,69338,182448,0.7601
31,0,137853,157326,100364,194815,1.0
32,0,117640,158379,87122,188897,0.9224
33,0,142922,173764,101428,215258,0.9424
34,0,191418,224832,145614,270636,1.0
35,0,35670,20466,12423,43713,0.5684
36,0,75422,34197,28659,80960,0.708
37,0,93303,44986,37236,101053,0.737
38,0,50906,46623,31253,66276,0.9431
39,0,58300,51390,35070,74620,0.94
40,0,99271,58948,52008,106211,0.9793
41,0,82100,71632,55480,98252,1.0
42,0,89505,72110,58651,102964,1.0
43,0,90929,74298,45962,119265,0.7708
44,0,107165,79454,57800,128819,0.8974
45,0,94898,83563,47719,130742,0.73
46,0,95172,87678,58968,123882,0.952
47,0,79796,89503,57208,112091,1.0
48,0,94096,91161,69399,115858,1.0
49,0,110181,98447,66200,142428,0.9296
50,0,111446,104055,47898,167603,0.5716
51,0,137435,113630,94870,156195,1.0
52,0,65746,118171,47203,136714,0.6905
53,0,77341,125934,44433,158842,0.5595
54,0,131861,130763,87084,175540,0.9922
55,0,92862,140799,75329,158332,0.9515
56,0,119464,146440,91504,174400,1.0
57,0,141618,153071,102857,191832,1.0
58,0,115643,157089,86403,186329,0.9274
59,0,97045,157414,61301,193158,0.6347
60,0,98391,161243,60084,199550,0.6022
61,0,151158,168343,118675,200826,1.0
62,0,131813,173462,104232,201043,1.0
63,0,148616,186129,123015,211730,1.0
64,0,151557,192199,135128,208628,1.0
65,0,120549,216245,102795,233999,0.8786
66,0,189372,220576,156795,253153,1.0
67,0,150518,237250,123741,264027,0.9373
