Sample,Dice,HD95
0_0,1.0000,57.5213
1_0,0.3740,79.9290
2_0,1.0000,80.8434
3_0,0.0260,71.4682
4_0,0.2120,57.7819
5_0,0.1937,71.7077
6_0,0.4682,87.9739
7_0,1.0000,62.0261
8_0,0.4684,109.5536
9_0,0.0582,68.4471
Average,0.4800,74.7252
