batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,1922102,157749,157745,1922106,0.1641
2,0,1537149,162397,162397,1537149,0.2113
3,0,1117277,169918,169876,1117319,0.3041
4,0,1529183,200621,200621,1529183,0.2624
5,0,782581,12470,12470,782581,0.0319
6,0,1010045,42636,42636,1010045,0.0844
7,0,889624,46230,46230,889624,0.1039
8,0,1522892,51782,51782,1522892,0.068
9,0,1011201,59342,59342,1011201,0.1174
10,0,1761468,77740,77740,1761468,0.0883
11,0,1759397,78549,78549,1759397,0.0893
12,0,1345951,78584,78583,1345952,0.1168
13,0,1146854,79080,79080,1146854,0.1379
14,0,1320948,83463,83463,1320948,0.1264
15,0,1223467,84845,84845,1223467,0.1387
16,0,1592239,85112,85112,1592239,0.1069
17,0,993603,95788,95774,993617,0.1928
18,0,1424087,98011,98011,1424087,0.1376
19,0,891910,98512,98512,891910,0.2209
20,0,1249443,98996,98996,1249443,0.1585
21,0,1398704,105016,105016,1398704,0.1502
22,0,1713403,107675,107675,1713403,0.1257
23,0,1088614,107935,107935,1088614,0.1983
24,0,1327998,111614,111614,1327998,0.1681
25,0,1713407,111967,111967,1713407,0.1307
26,0,1326102,120374,120374,1326102,0.1815
27,0,823969,138460,138460,823969,0.3361
28,0,1404018,147383,147383,1404018,0.2099
29,0,1286357,147861,147861,1286357,0.2299
30,0,1336537,150203,150203,1336537,0.2248
31,0,1418852,157326,157326,1418852,0.2218
32,0,1301629,158379,158379,1301629,0.2434
33,0,1301909,173764,173764,1301909,0.2669
34,0,1942599,224832,224832,1942599,0.2315
35,0,752750,20466,20457,752759,0.0544
36,0,1045986,34197,34197,1045986,0.0654
37,0,1235907,44986,44986,1235907,0.0728
38,0,729388,46623,46623,729388,0.1278
39,0,1190196,51390,51390,1190196,0.0864
40,0,1360258,58948,58948,1360258,0.0867
41,0,1083400,71632,71632,1083400,0.1322
42,0,1209524,72110,72110,1209524,0.1192
43,0,1100589,74298,74298,1100589,0.135
44,0,1378970,79454,79454,1378970,0.1152
45,0,1027282,83563,83532,1027313,0.1626
46,0,1196361,87678,87678,1196361,0.1466
47,0,1060540,89503,89503,1060540,0.1688
48,0,1319129,91161,91161,1319129,0.1382
49,0,1260601,98447,98447,1260601,0.1562
50,0,1772210,104055,104055,1772210,0.1174
51,0,1406302,113630,113630,1406302,0.1616
52,0,807885,118171,118171,807885,0.2925
53,0,1245232,125934,125789,1245377,0.202
54,0,1471312,130763,130763,1471312,0.1778
55,0,1102767,140799,140799,1102767,0.2554
56,0,1351797,146440,146440,1351797,0.2167
57,0,1474294,153071,153071,1474294,0.2077
58,0,1271256,157089,157089,1271256,0.2471
59,0,1051068,157414,157414,1051068,0.2995
60,0,1322151,161243,161243,1322151,0.2439
61,0,1523784,168343,168343,1523784,0.221
62,0,1424179,173462,173462,1424179,0.2436
63,0,1529318,186129,186129,1529318,0.2434
64,0,1377542,192199,192199,1377542,0.279
65,0,1126135,216245,216245,1126135,0.384
66,0,1721708,220576,220576,1721708,0.2562
67,0,1567536,237250,237250,1567536,0.3027
