batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,575797,157749,157503,576043,0.5468
2,0,513059,162397,162079,513377,0.6314
3,0,443200,169918,168683,444435,0.7591
4,0,560813,200621,200450,560984,0.7146
5,0,169939,12470,12466,169943,0.1467
6,0,294848,42636,42552,294932,0.2886
7,0,212414,46230,46221,212423,0.4352
8,0,442509,51782,51782,442509,0.234
9,0,362907,59342,59248,363001,0.3264
10,0,772526,77740,77670,772596,0.2011
11,0,556230,78549,78387,556392,0.2818
12,0,404806,78584,78520,404870,0.3879
13,0,492779,79080,75910,495949,0.3061
14,0,478762,83463,83372,478853,0.3482
15,0,380943,84845,84802,380986,0.4452
16,0,504345,85112,85112,504345,0.3375
17,0,327927,95788,94788,328927,0.5763
18,0,392853,98011,96527,394337,0.4896
19,0,438248,98512,98512,438248,0.4496
20,0,346762,98996,98147,347611,0.5647
21,0,440868,105016,105016,440868,0.4764
22,0,636732,107675,107461,636946,0.3374
23,0,346141,107935,107403,346673,0.6196
24,0,454242,111614,111612,454244,0.4914
25,0,557666,111967,111811,557822,0.4009
26,0,443819,120374,120292,443901,0.542
27,0,259230,138460,138264,259426,1.0
28,0,540286,147383,145831,541838,0.5383
29,0,629390,147861,146750,630501,0.4655
30,0,511613,150203,149523,512293,0.5837
31,0,493418,157326,156634,494110,0.634
32,0,427935,158379,158279,428035,0.7396
33,0,540004,173764,173689,540079,0.6432
34,0,773159,224832,224534,773457,0.5806
35,0,156498,20466,20392,156572,0.2605
36,0,279693,34197,34197,279693,0.2445
37,0,334946,44986,44907,335025,0.2681
38,0,198021,46623,46623,198021,0.4709
39,0,289463,51390,51358,289495,0.3548
40,0,371805,58948,58948,371805,0.3171
41,0,295927,71632,71632,295927,0.4841
42,0,343130,72110,72110,343130,0.4203
43,0,424079,74298,74078,424299,0.3492
44,0,388417,79454,79454,388417,0.4091
45,0,368333,83563,83133,368763,0.4509
46,0,318225,87678,87496,318407,0.5496
47,0,270601,89503,89462,270642,0.6611
48,0,295561,91161,91161,295561,0.6169
49,0,381469,98447,98431,381485,0.516
50,0,704459,104055,101683,706831,0.2877
51,0,498724,113630,113628,498726,0.4557
52,0,242408,118171,116535,244044,0.955
53,0,547530,125934,123038,550426,0.4471
54,0,444390,130763,130642,444511,0.5878
55,0,338638,140799,140459,338978,0.8287
56,0,445799,146440,146261,445978,0.6559
57,0,463684,153071,153067,463688,0.6602
58,0,394923,157089,156965,395047,0.7947
59,0,460259,157414,153446,464227,0.6611
60,0,323268,161243,156625,327886,0.9554
61,0,443212,168343,168301,443254,0.7594
62,0,475484,173462,173285,475661,0.7286
63,0,433069,186129,185936,433262,0.8583
64,0,421002,192199,192130,421071,0.9126
65,0,334724,216245,215545,335424,1.0
66,0,639381,220576,220576,639381,0.69
67,0,458740,237250,236352,459638,1.0
