round,dice_wt,time_sec,loss
0,0.1107,22.31,0.8893
1,0.1776,18.39,0.8224
2,0.9499,18.47,0.0501
3,0.9633,18.19,0.0367
4,0.9172,17.97,0.0828
5,0.9685,18.29,0.0315
6,0.9457,18.02,0.0543
7,0.8151,17.9,0.1849
8,0.6042,17.85,0.3958
9,0.5012,17.99,0.4988
10,0.488,18.07,0.512
11,0.6001,17.96,0.3999
12,0.5512,18.18,0.4488
13,0.6219,17.82,0.3781
14,0.4838,17.93,0.5162
15,0.6019,18.24,0.3981
16,0.5967,18.16,0.4033
17,0.5782,17.87,0.4218
18,0.605,17.93,0.395
19,0.6027,18.29,0.3973
20,0.5454,18.13,0.4546
21,0.6108,18.17,0.3892
22,0.6199,18.2,0.3801
23,0.6209,18.08,0.3791
24,0.6277,18.03,0.3723
25,0.6581,18.98,0.3419
