Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
-1,FEDAVG,0,0,154016352,154016352,1.0
