Round,Train Loss,Dice WT
-1,0.9607687548195061,0.3297
-1,0.9467962408536359,0.1821
-1,0.8965767645522169,0.2602
-1,0.7443314914640627,0.9194
-1,0.4551369165119373,0.9417
-1,0.2958107056978502,0.871
-1,0.2189982286409328,0.9392
-1,0.18848526924848558,0.9127
-1,0.18264317971311117,0.939
-1,0.17603725296886347,0.9323
-1,0.1790411854260846,0.9118
-1,0.1788655137545184,0.868
-1,0.18177615337465938,0.8838
-1,0.1637969773850943,0.8893
-1,0.16615793853998181,0.9586
-1,0.16320462030799768,0.9357
-1,0.16703855720789812,0.8015
-1,0.1624056873352904,0.9311
-1,0.16131795166354432,0.9296
-1,0.1633436123791494,0.9398
-1,0.15788072277056545,0.9547
-1,0.16781725801135364,0.9279
-1,0.15855958124524666,0.9471
-1,0.16049263269493458,0.9424
-1,0.1548778973911938,0.9544
