Sample,Dice,HD95
0_0,0.5880,72.3740
1_0,0.7997,67.4833
2_0,0.6345,59.4403
3_0,1.0000,57.4630
4_0,0.2227,89.2300
5_0,0.4923,105.9339
6_0,0.6673,76.3341
7_0,0.7041,71.8471
8_0,0.8214,65.9545
9_0,0.3994,54.2679
10_0,0.4938,95.6556
11_0,0.7697,67.7864
12_0,0.5629,64.8845
13_0,0.6105,75.3923
14_0,0.6169,80.4988
15_0,0.6925,63.4149
16_0,0.7798,59.9550
17_0,0.6582,71.0563
18_0,0.8339,51.4781
19_0,0.6943,59.3641
20_0,0.5339,84.0833
21_0,0.7322,84.1190
22_0,0.7964,60.5558
23_0,0.7959,67.2681
24_0,0.6782,79.5550
25_0,0.8573,70.5195
26_0,0.8849,49.4469
27_0,0.5805,65.0000
28_0,0.7291,56.4043
29_0,0.7863,40.2368
30_0,0.6901,65.8953
31_0,0.7067,59.9933
32_0,0.8631,73.2366
33_0,0.9183,45.7056
34_0,0.4069,58.9406
35_0,0.4247,72.8423
36_0,0.4224,82.4803
37_0,0.6406,87.0348
38_0,0.5562,103.3286
39_0,0.5929,80.1623
40_0,0.7819,70.6612
41_0,0.6895,84.7939
42_0,0.6976,60.6135
43_0,0.8469,68.6076
44_0,0.9142,70.0071
45_0,0.8602,74.1687
46_0,0.8478,60.9426
47_0,0.8269,72.0972
48_0,0.7199,85.3478
49_0,0.4101,83.0241
50_0,0.8074,72.3170
51_0,0.9009,65.0385
52_0,0.7153,66.6483
53_0,0.9046,67.7422
54_0,1.0000,69.3382
55_0,1.0000,74.4953
56_0,0.9504,55.8032
57_0,0.8770,80.4363
58_0,0.6490,47.9270
59_0,0.7960,60.2412
60_0,0.9368,70.8914
61_0,0.8532,68.0353
62_0,0.7982,69.8642
63_0,0.9981,58.3866
64_0,1.0000,53.2438
65_0,0.9140,53.9221
66_0,0.9305,54.5985
Average,0.7353,68.8928
