round,dice_wt,time_sec,loss
0,0.1107,21.88,0.8893
1,0.2555,18.54,0.7445
2,0.3355,18.71,0.6645
3,0.4201,18.82,0.5799
4,0.3123,18.36,0.6877
5,0.362,18.37,0.638
6,0.3415,19.21,0.6585
7,0.303,18.5,0.697
8,0.6728,18.53,0.3272
9,0.5557,18.24,0.4443
10,0.5294,18.35,0.4706
11,0.5636,18.48,0.4364
12,0.5121,18.29,0.4879
13,0.5193,18.31,0.4807
14,0.656,18.24,0.344
15,0.5304,18.37,0.4696
16,0.6381,17.98,0.3619
17,0.7164,18.32,0.2836
18,0.6282,18.19,0.3718
19,0.7869,18.26,0.2131
20,0.8799,18.35,0.1201
21,0.925,18.24,0.075
22,0.9224,18.15,0.0776
23,0.9761,18.5,0.0239
24,0.9799,18.18,0.0201
25,0.9744,19.1,0.0256
