Sample,Dice,HD95
0_0,1.0000,67.9279
1_0,1.0000,64.2254
2_0,1.0000,39.2938
3_0,1.0000,39.1663
4_0,0.3188,84.5302
5_0,0.8932,85.0000
6_0,1.0000,70.8237
7_0,0.6022,69.6850
8_0,0.6883,62.8411
9_0,0.9719,52.3927
10_0,0.6956,99.3277
11_0,1.0000,65.8039
12_0,0.9164,58.9322
13_0,0.8768,78.4423
14_0,1.0000,82.0445
15_0,1.0000,65.3758
16_0,1.0000,42.7224
17_0,1.0000,65.1230
18_0,1.0000,40.5290
19_0,1.0000,57.5674
20_0,1.0000,89.0000
21_0,0.9776,88.3173
22_0,1.0000,46.5806
23_0,1.0000,45.8912
24_0,1.0000,83.1926
25_0,1.0000,71.2390
26_0,1.0000,42.8601
27_0,1.0000,62.7136
28_0,1.0000,48.7442
29_0,1.0000,34.1467
30_0,1.0000,51.0882
31_0,1.0000,56.1160
32_0,1.0000,27.6586
33_0,1.0000,36.2491
34_0,1.0000,52.4862
35_0,0.6397,70.3562
36_0,0.5407,83.7914
37_0,1.0000,83.6002
38_0,1.0000,91.0110
39_0,0.6567,73.4520
40_0,0.8724,68.4938
41_0,0.8782,72.5462
42_0,1.0000,62.4260
43_0,0.9073,70.5833
44_0,1.0000,67.9412
45_0,1.0000,69.6707
46_0,1.0000,49.0000
47_0,1.0000,68.4982
48_0,1.0000,91.2195
49_0,1.0000,79.4103
50_0,0.9047,73.8881
51_0,1.0000,42.3645
52_0,1.0000,72.0347
53_0,1.0000,70.5195
54_0,1.0000,43.8292
55_0,1.0000,73.0685
56_0,1.0000,50.6063
57_0,1.0000,29.8161
58_0,1.0000,40.7676
59_0,1.0000,50.2593
60_0,1.0000,62.8172
61_0,1.0000,53.3010
62_0,1.0000,75.5377
63_0,1.0000,10.4881
64_0,1.0000,8.8318
65_0,1.0000,56.3901
66_0,1.0000,57.6975
Average,0.9454,61.2277
