round,dice_wt,time_sec,loss
0,0.1107,22.11,0.8893
1,0.2243,18.3,0.7757
2,0.9411,18.28,0.0589
3,0.9698,18.2,0.0302
4,0.8485,18.09,0.1515
5,0.96,18.01,0.04
6,0.9519,18.16,0.0481
7,0.9146,18.17,0.0854
8,0.8942,17.95,0.1058
9,0.7086,17.93,0.2914
10,0.6191,18.25,0.3809
11,0.8937,18.35,0.1063
12,0.6126,18.16,0.3874
13,0.704,18.03,0.296
14,0.7073,17.77,0.2927
15,0.7643,17.92,0.2357
16,0.8159,17.95,0.1841
17,0.7811,17.85,0.2189
18,0.7626,17.99,0.2374
19,0.8499,18.13,0.1501
20,0.786,17.74,0.214
21,0.8575,17.61,0.1425
22,0.8799,17.81,0.1201
23,0.8919,17.81,0.1081
24,0.8648,17.85,0.1352
25,0.9108,18.56,0.0892
