round,dice_wt,time_sec,loss
0,0.1107,21.44,0.8893
1,0.4677,17.44,0.5323
2,0.45,17.41,0.55
3,0.5094,17.23,0.4906
4,0.5876,17.41,0.4124
5,0.4748,17.45,0.5252
6,0.1653,17.31,0.8347
7,0.0408,17.19,0.9592
8,0.0419,17.33,0.9581
9,0.3353,17.25,0.6647
10,0.5638,17.37,0.4362
11,0.0671,17.31,0.9329
12,0.0363,17.17,0.9637
13,0.0111,17.51,0.9889
14,0.0004,17.49,0.9996
15,0.0001,17.24,0.9999
16,0.0,17.07,1.0
17,0.0,17.23,1.0
18,0.0,17.27,1.0
19,0.0,17.11,1.0
20,0.0,17.32,1.0
21,0.0,17.18,1.0
22,0.0,17.48,1.0
23,0.0,17.06,1.0
24,0.0,17.32,1.0
25,0.0,17.15,1.0
