Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,3,154016352,40963002,3.7598892205089345
2,KH,3,154016352,40958296,3.760321258671566
3,KH,3,154016352,40952565,3.7608474504329705
4,KH,3,154016352,40948054,3.7612617787621394
5,KH,3,154016352,40925823,3.763304886788194
6,KH,3,154016352,40921178,3.763732044515277
7,KH,3,154016352,40882702,3.76727426651369
8,KH,3,154016352,40880753,3.767453816954114
9,KH,3,154016352,40839372,3.7712712195756533
10,KH,3,154016352,40883903,3.767163619182711
11,KH,3,154016352,40873835,3.7680915251101044
12,KH,3,154016352,40844152,3.7708299576330417
13,KH,3,154016352,40851282,3.77017181394395
14,KH,3,154016352,40855738,3.7697605399890315
15,KH,3,154016352,40858671,3.769489949663575
16,KH,3,154016352,40815951,3.7734352981816897
17,KH,3,154016352,40843578,3.770882910924152
18,KH,3,154016352,40874216,3.768056363418037
19,KH,3,154016352,40866036,3.768810600586254
20,KH,3,154016352,40861905,3.7691916698343895
21,KH,3,154016352,40857400,3.76960726660273
22,KH,3,154016352,40854407,3.7698834101195864
23,KH,3,154016352,40852301,3.770077698084405
24,KH,3,154016352,40851033,3.7701947567903757
25,KH,3,154016352,40848891,3.770392492038834
