Round,EncodingMode,NClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SKH,32,154016352,45967064,3.350580515164833
-1,SKH,32,154016352,45777994,3.364418951723837
-1,SKH,32,154016352,45660141,3.3731028119297024
-1,SKH,32,154016352,45549086,3.3813269192942763
-1,SKH,32,154016352,45584075,3.3787315021614304
-1,SKH,32,154016352,45495101,3.385339200753964
-1,SKH,32,154016352,45475092,3.386828754557858
-1,SKH,32,154016352,45457083,3.3881705396848876
-1,SKH,32,154016352,45519313,3.383538519998807
-1,SKH,32,154016352,45519921,3.3834933352548586
-1,SKH,32,154016352,45511047,3.384153097425905
-1,SKH,32,154016352,45500797,3.3849154756857875
-1,SKH,32,154016352,45483362,3.386212954907096
-1,SKH,32,154016352,45435310,3.3897941957578768
-1,SKH,32,154016352,45454565,3.3883582153696894
-1,SKH,32,154016352,45387716,3.3933487376039855
-1,SKH,32,154016352,45523037,3.383261763566814
-1,SKH,32,154016352,45393366,3.3929264187066943
-1,SKH,32,154016352,45388447,3.393294115727479
-1,SKH,32,154016352,45452190,3.3885352907241977
-1,SKH,32,154016352,45431743,3.390060313042862
-1,SKH,32,154016352,45377750,3.394094057201005
-1,SKH,32,154016352,45363796,3.395138093142916
-1,SKH,32,154016352,45371439,3.394566107007717
-1,SKH,32,154016352,45390052,3.393174123519734
