round,dice_wt,time_sec,loss
0,0.1107,21.73,0.8893
1,0.6989,18.36,0.3011
2,0.8091,18.13,0.1909
3,0.1123,17.78,0.8877
4,0.029,18.07,0.971
5,0.0778,17.93,0.9222
6,0.8408,18.05,0.1592
7,0.9586,17.94,0.0414
8,0.9502,18.02,0.0498
9,0.7641,18.17,0.2359
10,0.7354,18.0,0.2646
11,0.4607,17.84,0.5393
12,0.3917,18.01,0.6083
13,0.3931,18.04,0.6069
14,0.1893,18.41,0.8107
15,0.3274,18.23,0.6726
16,0.3498,18.37,0.6502
17,0.249,18.07,0.751
18,0.1906,17.95,0.8094
19,0.3442,18.14,0.6558
20,0.3423,18.04,0.6577
21,0.2144,18.29,0.7856
22,0.3166,17.95,0.6834
23,0.2034,17.93,0.7966
24,0.2252,17.81,0.7748
25,0.2112,18.46,0.7888
