batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,211563,157749,137661,231651,1.0
2,0,241948,162397,137464,266881,1.0
3,0,174796,169918,117889,226825,1.0
4,0,239114,200621,168564,271171,1.0
5,0,66902,12470,9312,70060,0.2658
6,0,144318,42636,31501,155453,0.4053
7,0,74645,46230,41481,79394,1.0
8,0,238611,51782,49973,240420,0.4157
9,0,173976,59342,48591,184727,0.5261
10,0,239918,77740,69856,247802,0.5638
11,0,299809,78549,75329,303029,0.4972
12,0,182364,78584,69115,191833,0.7206
13,0,200019,79080,59289,219810,0.5395
14,0,192728,83463,63150,213041,0.5928
15,0,200888,84845,69539,216194,0.6433
16,0,223064,85112,78553,229623,0.6842
17,0,150394,95788,77493,168689,0.9188
18,0,229137,98011,74808,252340,0.5929
19,0,203354,98512,93010,208856,0.8907
20,0,192846,98996,75848,215994,0.7023
21,0,227359,105016,97055,235320,0.8249
22,0,248680,107675,95028,261327,0.7273
23,0,166759,107935,83230,191464,0.8694
24,0,183097,111614,97117,197594,0.983
25,0,263882,111967,101577,274272,0.7407
26,0,183797,120374,100674,203497,0.9894
27,0,133854,138460,107167,165147,1.0
28,0,233717,147383,110174,270926,0.8133
29,0,256538,147861,106570,297829,0.7156
30,0,192452,150203,104104,238551,0.8728
31,0,242164,157326,135034,264456,1.0
32,0,218311,158379,124840,251850,0.9914
33,0,238907,173764,146045,266626,1.0
34,0,313932,224832,197657,341107,1.0
35,0,89205,20466,19142,90529,0.4229
36,0,146857,34197,33026,148028,0.4462
37,0,172979,44986,41859,176106,0.4754
38,0,87475,46623,40932,93166,0.8787
39,0,109737,51390,45341,115786,0.7832
40,0,170477,58948,57775,171650,0.6732
41,0,135205,71632,64210,142627,0.9004
42,0,150305,72110,70069,152346,0.9199
43,0,198703,74298,67889,205112,0.662
44,0,179892,79454,72703,186643,0.7791
45,0,197214,83563,63370,217407,0.583
46,0,175823,87678,79541,183960,0.8648
47,0,141416,89503,80201,150718,1.0
48,0,140422,91161,87023,144560,1.0
49,0,210844,98447,88955,220336,0.8074
50,0,275092,104055,69079,310068,0.4456
51,0,217436,113630,108722,222344,0.978
52,0,157655,118171,91799,184027,0.9977
53,0,180561,125934,79322,227173,0.6983
54,0,214192,130763,104942,240013,0.8745
55,0,159683,140799,109481,191001,1.0
56,0,182104,146440,109603,218941,1.0
57,0,246182,153071,137354,261899,1.0
58,0,201287,157089,133248,225128,1.0
59,0,214358,157414,102960,268812,0.766
60,0,201915,161243,100833,262325,0.7688
61,0,238203,168343,145934,260612,1.0
62,0,207856,173462,133057,248261,1.0
63,0,223804,186129,165020,244913,1.0
64,0,207840,192199,168610,231429,1.0
65,0,213716,216245,161036,268925,1.0
66,0,264829,220576,204048,281357,1.0
67,0,235412,237250,175260,297402,1.0
