Sample,Dice,HD95
0_0,1.0000,8.7750
1_0,1.0000,4.8990
2_0,1.0000,5.0000
3_0,1.0000,5.7446
4_0,0.6173,27.4591
5_0,1.0000,4.6904
6_0,1.0000,5.0000
7_0,0.5602,17.7200
8_0,0.9035,8.4853
9_0,0.0000,nan
Average,0.8081,nan
