round,dice_wt,time_sec,loss
0,0.1107,22.23,0.8893
1,0.3605,18.56,0.6395
2,0.4584,18.2,0.5416
3,0.9094,18.25,0.0906
4,0.9685,18.1,0.0315
5,0.9689,18.35,0.0311
6,0.9515,18.22,0.0485
7,0.9584,18.11,0.0416
8,0.9576,18.28,0.0424
9,0.9611,18.22,0.0389
10,0.9693,18.26,0.0307
11,0.9762,18.21,0.0238
12,0.9711,18.02,0.0289
13,0.9735,18.09,0.0265
14,0.9696,18.15,0.0304
15,0.9731,18.19,0.0269
16,0.9753,18.06,0.0247
17,0.9719,18.07,0.0281
18,0.9665,18.25,0.0335
19,0.9744,17.93,0.0256
20,0.9655,18.03,0.0345
21,0.9728,18.08,0.0272
22,0.9671,18.12,0.0329
23,0.972,17.88,0.028
24,0.9726,18.07,0.0274
25,0.9704,18.55,0.0296
