round,dice_wt,time_sec,loss
0,0.1107,21.63,0.8893
1,0.3414,18.6,0.6586
2,0.3537,18.32,0.6463
3,0.437,18.58,0.563
4,0.5246,18.24,0.4754
5,0.615,18.31,0.385
6,0.6537,18.79,0.3463
7,0.7664,18.07,0.2336
8,0.8022,18.33,0.1978
9,0.8387,18.34,0.1613
10,0.8654,18.23,0.1346
11,0.7651,18.24,0.2349
12,0.6688,18.17,0.3312
13,0.471,18.16,0.529
14,0.5237,18.31,0.4763
15,0.2361,18.25,0.7639
16,0.0702,18.16,0.9298
17,0.0263,18.2,0.9737
18,0.0818,18.15,0.9182
19,0.1582,18.36,0.8418
20,0.4165,17.94,0.5835
21,0.5623,18.15,0.4377
22,0.6504,17.99,0.3496
23,0.7759,18.19,0.2241
24,0.7492,18.12,0.2508
25,0.8619,18.84,0.1381
