Round,Train Loss,Dice WT
-1,0.9648781283813364,0.2364
-1,0.950051715414898,0.2878
-1,0.9252448495988752,0.357
-1,0.8644369279637056,0.8629
-1,0.7447523951530457,0.9313
-1,0.5574778511828068,0.9445
-1,0.39056832758234994,0.9568
-1,0.28816485448795204,0.9353
-1,0.2373789194460009,0.977
-1,0.20800939798355103,0.9746
-1,0.19706513498928033,0.9685
-1,0.18681877684943818,0.9599
-1,0.1825267671370039,0.9813
-1,0.17917045056819916,0.9655
-1,0.1759703017917334,0.9795
-1,0.17451900275898916,0.9789
-1,0.17383350811752618,0.9812
-1,0.17067251100259667,0.9814
-1,0.16832787000081118,0.9812
-1,0.16880427505455767,0.9839
-1,0.16605093154837103,0.9755
-1,0.16408518619981466,0.9771
-1,0.16204143242508756,0.9743
-1,0.161329286589342,0.9839
-1,0.16092506202996945,0.9777
