round,dice_wt,time_sec,loss
0,0.1107,21.9,0.8893
1,0.0221,18.21,0.9779
2,0.3639,17.88,0.6361
3,0.2846,17.88,0.7154
4,0.2982,18.1,0.7018
5,0.3127,18.43,0.6873
6,0.2898,18.06,0.7102
7,0.2764,18.13,0.7236
8,0.2772,17.97,0.7228
9,0.3249,18.21,0.6751
10,0.2973,18.04,0.7027
11,0.3815,18.31,0.6185
12,0.0646,18.24,0.9354
13,0.0856,18.25,0.9144
14,0.058,18.18,0.942
15,0.0387,18.16,0.9613
16,0.0399,18.13,0.9601
17,0.0371,17.83,0.9629
18,0.0395,18.08,0.9605
19,0.0466,17.83,0.9534
20,0.0284,17.84,0.9716
21,0.2873,17.97,0.7127
22,0.0444,17.99,0.9556
23,0.9241,18.0,0.0759
24,0.9391,17.95,0.0609
25,0.0356,17.91,0.9644
