round,dice_wt,time_sec,loss
0,0.1107,22.93,0.8893
1,0.022,19.37,0.978
2,0.0236,17.57,0.9764
3,0.7445,17.56,0.2555
4,0.0266,17.81,0.9734
5,0.3837,17.73,0.6163
6,0.7806,18.98,0.2194
7,0.5319,18.11,0.4681
8,0.6697,18.23,0.3303
9,0.5864,17.67,0.4136
10,0.4683,17.88,0.5317
11,0.565,17.84,0.435
12,0.5878,17.48,0.4122
13,0.6927,18.19,0.3073
14,0.5847,17.45,0.4153
15,0.7513,17.58,0.2487
16,0.7668,21.88,0.2332
17,0.6693,18.44,0.3307
18,0.7299,17.51,0.2701
19,0.7481,17.74,0.2519
20,0.6729,17.96,0.3271
21,0.8263,17.73,0.1737
22,0.8873,17.47,0.1127
23,0.8497,18.25,0.1503
24,0.7435,17.44,0.2565
25,0.8308,17.49,0.1692
