round,dice_wt,time_sec,loss
0,0.1107,21.99,0.8893
1,0.022,20.9,0.978
2,0.0328,17.57,0.9672
3,0.2562,17.74,0.7438
4,0.327,17.62,0.673
5,0.2746,18.93,0.7254
6,0.3148,17.68,0.6852
7,0.1635,18.36,0.8365
8,0.0535,18.19,0.9465
9,0.105,18.08,0.895
10,0.3371,17.64,0.6629
11,0.0388,17.63,0.9612
12,0.3538,17.67,0.6462
13,0.3937,17.7,0.6063
14,0.3991,17.7,0.6009
15,0.5773,17.56,0.4227
16,0.5895,17.93,0.4105
17,0.4564,17.53,0.5436
18,0.44,17.74,0.56
19,0.5608,17.86,0.4392
20,0.5082,17.78,0.4918
21,0.738,17.44,0.262
22,0.6122,17.74,0.3878
23,0.6577,17.45,0.3423
24,0.6135,18.24,0.3865
25,0.6309,17.57,0.3691
