round,dice_wt,time_sec,loss
0,0.1107,22.48,0.8893
1,0.022,17.62,0.978
2,0.6551,17.46,0.3449
3,0.9313,17.59,0.0687
4,0.1283,17.49,0.8717
5,0.8987,17.5,0.1013
6,0.794,17.61,0.206
7,0.8778,17.39,0.1222
8,0.9603,17.37,0.0397
9,0.9799,17.18,0.0201
10,0.9752,17.33,0.0248
11,0.9611,17.14,0.0389
12,0.9817,17.49,0.0183
13,0.9865,17.27,0.0135
14,0.9705,17.41,0.0295
15,0.9731,17.23,0.0269
16,0.9051,17.3,0.0949
17,0.9838,17.31,0.0162
18,0.9184,17.22,0.0816
19,0.9236,17.68,0.0764
20,0.9577,17.46,0.0423
21,0.9632,17.28,0.0368
22,0.7092,17.39,0.2908
23,0.8828,17.35,0.1172
24,0.8084,17.32,0.1916
25,0.9351,17.15,0.0649
