round,dice_wt,time_sec,loss
0,0.1107,21.7,0.8893
1,0.3489,17.38,0.6511
2,0.2853,17.41,0.7147
3,0.5527,17.37,0.4473
4,0.9231,17.36,0.0769
5,0.9746,17.04,0.0254
6,0.9756,17.15,0.0244
7,0.9833,17.22,0.0167
8,0.982,17.3,0.018
9,0.9804,17.26,0.0196
10,0.9872,17.45,0.0128
11,0.99,17.41,0.01
12,0.983,17.4,0.017
13,0.9797,17.42,0.0203
14,0.9747,17.33,0.0253
15,0.9735,17.22,0.0265
16,0.9704,17.22,0.0296
17,0.9719,17.4,0.0281
18,0.9731,17.4,0.0269
19,0.9748,17.25,0.0252
20,0.9729,17.28,0.0271
21,0.986,17.28,0.014
22,0.9784,17.37,0.0216
23,0.9757,17.09,0.0243
24,0.9744,17.07,0.0256
25,0.9842,17.09,0.0158
