round,dice_wt,time_sec,loss
0,0.1107,22.42,0.8893
1,0.3412,19.0,0.6588
2,0.3532,18.17,0.6468
3,0.4467,18.14,0.5533
4,0.5295,18.34,0.4705
5,0.6161,18.25,0.3839
6,0.6419,18.75,0.3581
7,0.7652,18.18,0.2348
8,0.7999,18.21,0.2001
9,0.8416,18.16,0.1584
10,0.8619,18.25,0.1381
11,0.8372,18.11,0.1628
12,0.87,18.28,0.13
13,0.5848,18.04,0.4152
14,0.6898,18.07,0.3102
15,0.3142,18.03,0.6858
16,0.0323,18.19,0.9677
17,0.0465,18.28,0.9535
18,0.0537,18.23,0.9463
19,0.0561,18.25,0.9439
20,0.1665,18.25,0.8335
21,0.137,18.34,0.863
22,0.2765,18.28,0.7235
23,0.1977,18.24,0.8023
24,0.436,18.2,0.564
25,0.5245,19.1,0.4755
