batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,614429,157749,157606,614572,0.5129
2,0,539156,162397,162238,539315,0.6016
3,0,403271,169918,168843,404346,0.8351
4,0,629361,200621,200575,629407,0.6373
5,0,143282,12470,12451,143301,0.1738
6,0,269254,42636,42593,269297,0.3163
7,0,203766,46230,46228,203768,0.4537
8,0,467142,51782,51782,467142,0.2217
9,0,362894,59342,59287,362949,0.3267
10,0,756037,77740,77694,756083,0.2055
11,0,559743,78549,78541,559751,0.2806
12,0,408227,78584,78570,408241,0.3849
13,0,468813,79080,76872,471021,0.3264
14,0,453318,83463,83417,453364,0.368
15,0,363610,84845,84836,363619,0.4666
16,0,513306,85112,85112,513306,0.3316
17,0,308404,95788,94614,309578,0.6112
18,0,359395,98011,96784,360622,0.5368
19,0,455837,98512,98512,455837,0.4322
20,0,331512,98996,98436,332072,0.5929
21,0,435878,105016,105016,435878,0.4819
22,0,663510,107675,107604,663581,0.3243
23,0,325424,107935,107570,325789,0.6604
24,0,479142,111614,111613,479143,0.4659
25,0,574082,111967,111816,574233,0.3894
26,0,479944,120374,120336,479982,0.5014
27,0,277543,138460,138381,277622,0.9969
28,0,536983,147383,146382,537984,0.5442
29,0,595637,147861,147789,595709,0.4962
30,0,484543,150203,150000,484746,0.6189
31,0,510882,157326,157136,511072,0.6149
32,0,447597,158379,158367,447609,0.7076
33,0,570759,173764,173702,570821,0.6086
34,0,817179,224832,224631,817380,0.5496
35,0,132259,20466,20325,132400,0.307
36,0,293026,34197,34197,293026,0.2334
37,0,359873,44986,44971,359888,0.2499
38,0,185567,46623,46623,185567,0.5025
39,0,297149,51390,51388,297151,0.3459
40,0,406005,58948,58948,406005,0.2904
41,0,329952,71632,71632,329952,0.4342
42,0,368686,72110,72110,368686,0.3912
43,0,424402,74298,74123,424577,0.3492
44,0,412442,79454,79454,412442,0.3853
45,0,375172,83563,83141,375594,0.4427
46,0,323255,87678,87544,323389,0.5414
47,0,265932,89503,89492,265943,0.673
48,0,329785,91161,91161,329785,0.5529
49,0,380235,98447,98402,380280,0.5175
50,0,700716,104055,102122,702649,0.2907
51,0,549514,113630,113630,549514,0.4136
52,0,244057,118171,116972,245256,0.9539
53,0,514248,125934,123467,516715,0.4779
54,0,488034,130763,130709,488088,0.5356
55,0,337483,140799,140503,337779,0.8319
56,0,516625,146440,146374,516691,0.5666
57,0,486432,153071,153070,486433,0.6294
58,0,389925,157089,156926,390088,0.8046
59,0,452178,157414,153654,455938,0.674
60,0,312751,161243,159927,314067,1.0
61,0,477021,168343,168339,477025,0.7058
62,0,495415,173462,173445,495432,0.7002
63,0,499065,186129,186116,499078,0.7458
64,0,530051,192199,192198,530052,0.7252
65,0,355435,216245,215904,355776,1.0
66,0,729677,220576,220576,729677,0.6046
67,0,495765,237250,236810,496205,0.9545
