batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,182364,157749,147794,192319,1.0
2,0,181358,162397,157986,185769,1.0
3,0,203769,169918,159947,213740,1.0
4,0,223219,200621,195569,228271,1.0
5,0,14538,12470,12002,15006,1.0
6,0,40904,42636,39030,44510,1.0
7,0,48076,46230,44682,49624,1.0
8,0,89080,51782,51147,89715,1.0
9,0,85710,59342,59011,86041,1.0
10,0,423361,77740,76705,424396,0.3615
11,0,85344,78549,76928,86965,1.0
12,0,77035,78584,74090,81529,1.0
13,0,85662,79080,75106,89636,1.0
14,0,101204,83463,82955,101712,1.0
15,0,92877,84845,83463,94259,1.0
16,0,90918,85112,83620,92410,1.0
17,0,115888,95788,80972,130704,1.0
18,0,104929,98011,93701,109239,1.0
19,0,296803,98512,98485,296830,0.6636
20,0,106583,98996,97227,108352,1.0
21,0,122985,105016,104875,123126,1.0
22,0,120346,107675,106937,121084,1.0
23,0,122019,107935,106728,123226,1.0
24,0,123162,111614,111051,123725,1.0
25,0,129344,111967,111707,129604,1.0
26,0,127231,120374,116624,130981,1.0
27,0,165228,138460,135008,168680,1.0
28,0,166532,147383,141802,172113,1.0
29,0,571599,147861,146570,572890,0.5117
30,0,165478,150203,134489,181192,1.0
31,0,165198,157326,149613,172911,1.0
32,0,168599,158379,155802,171176,1.0
33,0,289288,173764,173562,289490,1.0
34,0,339630,224832,222130,342332,1.0
35,0,25642,20466,19556,26552,1.0
36,0,36369,34197,33734,36832,1.0
37,0,45900,44986,41696,49190,1.0
38,0,50489,46623,46333,50779,1.0
39,0,53184,51390,49386,55188,1.0
40,0,62441,58948,58611,62778,1.0
41,0,74417,71632,70735,75314,1.0
42,0,78279,72110,71746,78643,1.0
43,0,81699,74298,73302,82695,1.0
44,0,80325,79454,77080,82699,1.0
45,0,79535,83563,76332,86766,1.0
46,0,95339,87678,86399,96618,1.0
47,0,101126,89503,89314,101315,1.0
48,0,95250,91161,90813,95598,1.0
49,0,103890,98447,96602,105735,1.0
50,0,397151,104055,100831,400375,0.5037
51,0,133529,113630,113176,133983,1.0
52,0,115572,118171,112239,121504,1.0
53,0,143202,125934,120101,149035,1.0
54,0,136213,130763,127556,139420,1.0
55,0,155698,140799,139932,156565,1.0
56,0,146615,146440,141790,151265,1.0
57,0,177868,153071,152518,178421,1.0
58,0,177403,157089,156578,177914,1.0
59,0,176769,157414,155141,179042,1.0
60,0,176067,161243,160110,177200,1.0
61,0,173562,168343,165525,176380,1.0
62,0,179635,173462,170138,182959,1.0
63,0,200735,186129,183588,203276,1.0
64,0,212803,192199,191437,213565,1.0
65,0,220627,216245,209989,226883,1.0
66,0,263140,220576,219929,263787,1.0
67,0,250985,237250,232864,255371,1.0
