Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,32,154016352,47347372,3.2529017714786694
2,KH,32,154016352,47068506,3.2721742164849075
3,KH,32,154016352,47031274,3.274764558758922
4,KH,32,154016352,46989813,3.2776540633948827
5,KH,32,154016352,47138305,3.2673289936939454
6,KH,32,154016352,47030605,3.2748111619963067
7,KH,32,154016352,47108548,3.2693928789988447
8,KH,32,154016352,47123404,3.268362143054919
9,KH,32,154016352,47145443,3.2668342856722883
10,KH,32,154016352,47171041,3.26506149702323
11,KH,32,154016352,47131329,3.2678125594374263
12,KH,32,154016352,47114560,3.2689756562134202
13,KH,32,154016352,47120150,3.268587849225907
14,KH,32,154016352,47175156,3.2647766732893566
15,KH,32,154016352,47239575,3.2603246078285455
16,KH,32,154016352,47135988,3.267489580900338
17,KH,32,154016352,47162682,3.265640185505443
18,KH,32,154016352,47234276,3.260690384025628
19,KH,32,154016352,47206458,3.2626118722657
20,KH,32,154016352,47178621,3.2645369395745405
21,KH,32,154016352,47152137,3.266370517093134
22,KH,32,154016352,47237103,3.260495284248479
23,KH,32,154016352,47114537,3.268977249646792
24,KH,32,154016352,47165238,3.2654632245230135
25,KH,32,154016352,47212578,3.2621889201851677
