Round,Train Loss,Dice WT
-1,0.9575757792592048,0.2294
-1,0.9544925406575203,0.1971
-1,0.9529322195053102,0.2159
-1,0.9511014685034752,0.2675
-1,0.9486952850222587,0.1363
-1,0.9455884936451913,0.1783
-1,0.9413778349757195,0.1512
-1,0.936029173284769,0.1833
-1,0.9295315162837505,0.2174
-1,0.921435521543026,0.2246
-1,0.9118617457151414,0.2506
-1,0.9006276774406434,0.2751
-1,0.8864048486948013,0.3236
-1,0.8694903028011322,0.4073
-1,0.8494512182474135,0.4022
-1,0.8251561845839023,0.4159
-1,0.7966352149844169,0.6179
-1,0.7621714016795159,0.5292
-1,0.7264665141701699,0.8331
-1,0.6825817741453648,0.7975
-1,0.64307791441679,0.875
-1,0.5973467412590981,0.9714
-1,0.5518703046441078,0.9345
-1,0.5078674782812596,0.9814
-1,0.4693022093176841,0.9726
