round,dice_wt,time_sec,loss
0,0.1107,22.04,0.8893
1,0.2472,18.43,0.7528
2,0.4135,18.5,0.5865
3,0.4731,18.55,0.5269
4,0.5565,18.5,0.4435
5,0.6594,18.32,0.3406
6,0.6826,19.22,0.3174
7,0.7684,18.39,0.2316
8,0.8157,18.4,0.1843
9,0.8621,18.16,0.1379
10,0.8167,18.09,0.1833
11,0.8066,17.87,0.1934
12,0.789,18.02,0.211
13,0.9015,18.0,0.0985
14,0.703,18.04,0.297
15,0.4894,18.0,0.5106
16,0.132,18.05,0.868
17,0.0727,17.92,0.9273
18,0.0925,18.35,0.9075
19,0.102,18.1,0.898
20,0.1331,18.0,0.8669
21,0.089,17.81,0.911
22,0.1402,17.87,0.8598
23,0.0953,18.14,0.9047
24,0.1591,17.99,0.8409
25,0.241,18.82,0.759
