round,dice_wt,time_sec,loss
0,0.1107,21.34,0.8893
1,0.2242,18.73,0.7758
2,0.9417,18.85,0.0583
3,0.9699,17.9,0.0301
4,0.7776,18.39,0.2224
5,0.9649,18.42,0.0351
6,0.9655,18.78,0.0345
7,0.8793,18.37,0.1207
8,0.8762,18.46,0.1238
9,0.5712,18.69,0.4288
10,0.6129,18.41,0.3871
11,0.6627,18.1,0.3373
12,0.6918,18.34,0.3082
13,0.6871,18.17,0.3129
14,0.6102,18.59,0.3898
15,0.7998,18.17,0.2002
16,0.7953,18.52,0.2047
17,0.735,18.44,0.265
18,0.7594,18.61,0.2406
19,0.8147,18.47,0.1853
20,0.7503,18.51,0.2497
21,0.8037,18.43,0.1963
22,0.863,18.43,0.137
23,0.8672,18.52,0.1328
24,0.8309,18.35,0.1691
25,0.8699,19.4,0.1301
