round,dice_wt,time_sec,loss
0,0.1107,22.33,0.8893
1,0.6989,17.99,0.3011
2,0.7992,18.26,0.2008
3,0.1949,17.95,0.8051
4,0.0345,18.15,0.9655
5,0.1889,18.13,0.8111
6,0.6054,17.98,0.3946
7,0.9665,17.9,0.0335
8,0.7424,18.01,0.2576
9,0.7531,18.01,0.2469
10,0.4659,17.94,0.5341
11,0.6184,17.91,0.3816
12,0.3207,17.99,0.6793
13,0.2905,18.03,0.7095
14,0.3197,18.13,0.6803
15,0.372,17.86,0.628
16,0.4248,17.73,0.5752
17,0.3036,17.92,0.6964
18,0.3032,17.92,0.6968
19,0.5741,17.91,0.4259
20,0.3355,17.8,0.6645
21,0.2715,17.9,0.7285
22,0.4978,17.91,0.5022
23,0.244,17.98,0.756
24,0.4973,17.85,0.5027
25,0.2945,18.73,0.7055
