round,dice_wt,time_sec,loss
0,0.1107,21.88,0.8893
1,0.1548,18.67,0.8452
2,0.3157,18.69,0.6843
3,0.4016,18.3,0.5984
4,0.4643,18.31,0.5357
5,0.6039,18.3,0.3961
6,0.572,18.91,0.428
7,0.8922,18.48,0.1078
8,0.4526,18.35,0.5474
9,0.8757,18.37,0.1243
10,0.5818,18.2,0.4182
11,0.8239,18.27,0.1761
12,0.8141,18.47,0.1859
13,0.8154,18.25,0.1846
14,0.8692,18.3,0.1308
15,0.9115,18.28,0.0885
16,0.9451,18.42,0.0549
17,0.9517,18.33,0.0483
18,0.9509,18.35,0.0491
19,0.9685,18.33,0.0315
20,0.9546,18.54,0.0454
21,0.9785,18.15,0.0215
22,0.9156,18.35,0.0844
23,0.9643,17.99,0.0357
24,0.9087,18.18,0.0913
25,0.9248,19.58,0.0752
