round,dice_wt,time_sec,loss
0,0.1107,26.99,0.8893
1,0.0863,24.44,0.9137
2,0.2784,24.73,0.7216
3,0.3717,24.58,0.6283
4,0.4564,24.24,0.5436
5,0.6176,24.61,0.3824
6,0.6762,24.33,0.3238
7,0.8058,24.39,0.1942
8,0.8413,24.22,0.1587
9,0.8763,24.44,0.1237
10,0.8347,24.41,0.1653
11,0.887,24.49,0.113
12,0.8296,24.36,0.1704
13,0.9324,24.65,0.0676
14,0.9054,24.31,0.0946
15,0.8975,24.4,0.1025
16,0.9454,24.31,0.0546
17,0.9225,24.92,0.0775
18,0.8793,24.75,0.1207
19,0.8991,24.41,0.1009
20,0.8662,24.22,0.1338
21,0.9543,24.36,0.0457
22,0.7688,24.43,0.2312
23,0.8776,24.27,0.1224
24,0.8142,24.71,0.1858
25,0.8212,24.77,0.1788
