round,dice_wt,time_sec,loss
0,0.1107,22.28,0.8893
1,0.0867,18.58,0.9133
2,0.2788,18.62,0.7212
3,0.37,18.53,0.63
4,0.4533,18.49,0.5467
5,0.6116,18.76,0.3884
6,0.6808,19.38,0.3192
7,0.8062,18.34,0.1938
8,0.84,18.16,0.16
9,0.8454,18.22,0.1546
10,0.8281,18.19,0.1719
11,0.9116,18.08,0.0884
12,0.8975,18.27,0.1025
13,0.8916,18.3,0.1084
14,0.9127,18.32,0.0873
15,0.9217,18.32,0.0783
16,0.8757,18.19,0.1243
17,0.9335,18.29,0.0665
18,0.8724,18.46,0.1276
19,0.9109,18.22,0.0891
20,0.8301,18.27,0.1699
21,0.9419,18.27,0.0581
22,0.8069,18.25,0.1931
23,0.9104,18.15,0.0896
24,0.8191,18.22,0.1809
25,0.7974,19.1,0.2026
