round,dice_wt,time_sec,loss
0,0.1107,21.28,0.8893
1,0.1785,18.23,0.8215
2,0.9424,17.79,0.0576
3,0.9693,17.86,0.0307
4,0.9088,18.04,0.0912
5,0.9722,18.03,0.0278
6,0.9457,18.18,0.0543
7,0.6907,18.37,0.3093
8,0.6156,18.06,0.3844
9,0.5708,17.88,0.4292
10,0.4358,17.85,0.5642
11,0.5652,17.92,0.4348
12,0.5285,18.0,0.4715
13,0.5576,18.04,0.4424
14,0.5144,17.75,0.4856
15,0.5962,17.77,0.4038
16,0.5839,17.98,0.4161
17,0.5681,18.1,0.4319
18,0.5742,18.28,0.4258
19,0.6227,17.88,0.3773
20,0.551,18.04,0.449
21,0.6186,18.27,0.3814
22,0.6255,17.91,0.3745
23,0.6115,18.22,0.3885
24,0.6355,18.16,0.3645
25,0.6732,19.12,0.3268
