round,dice_wt,time_sec,loss
0,0.1107,22.65,0.8893
1,0.2227,18.52,0.7773
2,0.9604,18.5,0.0396
3,0.9516,18.15,0.0484
4,0.8635,18.51,0.1365
5,0.9613,17.95,0.0387
6,0.9537,18.17,0.0463
7,0.9521,19.17,0.0479
8,0.8856,17.95,0.1144
9,0.6041,17.86,0.3959
10,0.6874,17.83,0.3126
11,0.8273,17.88,0.1727
12,0.8542,17.94,0.1458
13,0.6203,17.9,0.3797
14,0.5439,17.86,0.4561
15,0.7061,17.97,0.2939
16,0.7959,17.67,0.2041
17,0.7513,17.81,0.2487
18,0.8048,17.81,0.1952
19,0.8317,17.74,0.1683
20,0.7587,18.03,0.2413
21,0.8273,17.89,0.1727
22,0.8578,17.91,0.1422
23,0.8796,17.84,0.1204
24,0.8563,18.16,0.1437
25,0.8975,19.13,0.1025
