round,dice_wt,time_sec,loss
0,0.1107,21.63,0.8893
1,0.1776,18.22,0.8224
2,0.9499,18.09,0.0501
3,0.964,18.06,0.036
4,0.857,18.17,0.143
5,0.9673,18.1,0.0327
6,0.9375,18.12,0.0625
7,0.7656,18.44,0.2344
8,0.6496,17.99,0.3504
9,0.531,18.03,0.469
10,0.4518,18.03,0.5482
11,0.556,18.11,0.444
12,0.5015,17.87,0.4985
13,0.5631,17.95,0.4369
14,0.515,17.7,0.485
15,0.606,17.85,0.394
16,0.5936,17.91,0.4064
17,0.5363,18.01,0.4637
18,0.5847,18.04,0.4153
19,0.6103,18.15,0.3897
20,0.5393,17.7,0.4607
21,0.606,17.95,0.394
22,0.6162,17.95,0.3838
23,0.6097,18.01,0.3903
24,0.6277,18.2,0.3723
25,0.6746,19.19,0.3254
