round,dice_wt,time_sec,loss
0,0.1107,27.18,0.8893
1,0.1711,24.74,0.8289
2,0.8344,24.51,0.1656
3,0.8631,24.67,0.1369
4,0.9221,24.38,0.0779
5,0.8964,24.59,0.1036
6,0.8994,24.4,0.1006
7,0.8723,24.43,0.1277
8,0.578,24.34,0.422
9,0.6181,24.76,0.3819
10,0.3804,24.95,0.6196
11,0.4263,24.39,0.5737
12,0.4707,24.74,0.5293
13,0.4529,24.82,0.5471
14,0.3376,24.94,0.6624
15,0.5102,24.64,0.4898
16,0.4178,24.54,0.5822
17,0.3838,24.83,0.6162
18,0.3278,24.68,0.6722
19,0.3525,24.69,0.6475
20,0.3214,24.63,0.6786
21,0.327,24.66,0.673
22,0.3843,24.71,0.6157
23,0.352,24.65,0.648
24,0.4054,24.7,0.5946
25,0.4063,24.99,0.5937
