round,dice_wt,time_sec,loss
0,0.1107,21.82,0.8893
1,0.1301,18.3,0.8699
2,0.2905,18.44,0.7095
3,0.3454,18.1,0.6546
4,0.4364,18.21,0.5636
5,0.5772,18.38,0.4228
6,0.5869,19.37,0.4131
7,0.6583,18.24,0.3417
8,0.7133,18.28,0.2867
9,0.7608,18.56,0.2392
10,0.8045,18.46,0.1955
11,0.8297,18.18,0.1703
12,0.8293,18.28,0.1707
13,0.8715,18.25,0.1285
14,0.8561,18.23,0.1439
15,0.8653,18.27,0.1347
16,0.8735,18.14,0.1265
17,0.8911,17.98,0.1089
18,0.9041,18.01,0.0959
19,0.9064,18.07,0.0936
20,0.8951,17.9,0.1049
21,0.8773,17.88,0.1227
22,0.9174,18.09,0.0826
23,0.9156,17.9,0.0844
24,0.9228,18.08,0.0772
25,0.9249,18.74,0.0751
